buff[0]=4000001f,  r=0 
buff[4]=  2b6c02,  r=4 
buff[5]=18010005,  r=5 
buff[6]= 90102c9,  r=6 
buff[7]=19010002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=4000023f,  r=9 
buff[10]= 801163a,  r=10 
buff[11]=  19233c,  r=11 
buff[12]=  f930d3,  r=12 
buff[13]=  3930da,  r=13 
buff[14]=18011005,  r=14 
buff[15]= 901163a,  r=15 
buff[16]=19011002,  r=16 
buff[17]=8000013f,  r=17 
buff[18]=4000025f,  r=18 
buff[19]= 801204d,  r=19 
buff[20]=   16bbb,  r=20 
buff[21]=  e179f9,  r=21 
buff[22]=  217a03,  r=22 
buff[23]=18012005,  r=23 
buff[24]= 901204d,  r=24 
buff[25]=19012002,  r=25 
buff[26]=8000013f,  r=26 
buff[27]=4000027f,  r=27 
buff[28]= 8013158,  r=28 
buff[29]=   599b3,  r=29 
buff[30]=  e5a708,  r=30 
buff[31]=  25a716,  r=31 
buff[32]=18013005,  r=32 
buff[33]= 9013158,  r=33 
buff[34]=19013002,  r=34 
buff[35]=8000013f,  r=35 
buff[0]=4000029f,  r=0 
buff[1]= 8014e8a,  r=1 
buff[2]=  1a60dc,  r=2 
buff[3]=  fa6e2f,  r=3 
buff[4]=  3a6e3b,  r=4 
buff[5]=18014005,  r=5 
buff[6]= 9014e8a,  r=6 
buff[7]=19014002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=400002bf,  r=9 
buff[10]= 80155ff,  r=10 
buff[11]=  18369d,  r=11 
buff[12]=  f84468,  r=12 
buff[13]=  38447b,  r=13 
buff[14]=18015005,  r=14 
buff[15]= 90155ff,  r=15 
buff[16]=19015002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=400002df,  r=0 
buff[1]= 80168cd,  r=1 
buff[2]=   36d48,  r=2 
buff[3]=  e37b25,  r=3 
buff[4]=  237b37,  r=4 
buff[5]=18016005,  r=5 
buff[6]= 90168cd,  r=6 
buff[7]=19016002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=400002ff,  r=9 
buff[10]= 80174f8,  r=10 
buff[11]=  141a6e,  r=11 
buff[12]=  f42843,  r=12 
buff[13]=  342855,  r=13 
buff[14]=18017005,  r=14 
buff[15]= 90174f8,  r=15 
buff[16]=19017002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=4000031f,  r=0 
buff[1]= 8018449,  r=1 
buff[2]=  116094,  r=2 
buff[3]=  f16d41,  r=3 
buff[4]=  316d4c,  r=4 
buff[5]=18018005,  r=5 
buff[6]= 9018449,  r=6 
buff[7]=19018002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=4000033f,  r=9 
buff[10]= 80195a8,  r=10 
buff[11]=  16da47,  r=11 
buff[12]=  f6e822,  r=12 
buff[13]=  36e837,  r=13 
buff[14]=18019005,  r=14 
buff[15]= 90195a8,  r=15 
buff[16]=19019002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=4000035f,  r=0 
buff[1]= 801ae20,  r=1 
buff[2]=  18ba8c,  r=2 
buff[3]=  f8c7da,  r=3 
buff[4]=  38c7e6,  r=4 
buff[5]=1801a005,  r=5 
buff[6]= 901ae20,  r=6 
buff[7]=1901a002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=4000037f,  r=9 
buff[10]= 801b945,  r=10 
buff[11]=   54e16,  r=11 
buff[12]=  e55b8e,  r=12 
buff[13]=  255b98,  r=13 
buff[14]=1801b005,  r=14 
buff[15]= 901b945,  r=15 
buff[16]=1901b002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=4000039f,  r=0 
buff[1]= 801ceb7,  r=1 
buff[2]=  1b1757,  r=2 
buff[3]=  fb2584,  r=3 
buff[4]=  3b2590,  r=4 
buff[5]=1801c005,  r=5 
buff[6]= 901ceb7,  r=6 
buff[7]=1901c002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=400003bf,  r=0 
buff[1]= 801d6b6,  r=1 
buff[2]=  1b1338,  r=2 
buff[3]=  fb2105,  r=3 
buff[4]=  3b2112,  r=4 
buff[5]=1801d005,  r=5 
buff[6]= 901d6b6,  r=6 
buff[7]=1901d002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=400003df,  r=9 
buff[10]= 801ef3e,  r=10 
buff[11]=  1d3270,  r=11 
buff[12]=  fd3ff3,  r=12 
buff[13]=  3d3ffd,  r=13 
buff[14]=1801e005,  r=14 
buff[15]= 901ef3e,  r=15 
buff[16]=1901e002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=400003ff,  r=0 
buff[1]= 801faff,  r=1 
buff[2]=   c3469,  r=2 
buff[3]=  ec423f,  r=3 
buff[4]=  2c4253,  r=4 
buff[5]=1801f005,  r=5 
buff[6]= 901faff,  r=6 
buff[7]=1901f002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=4000041f,  r=9 
buff[10]= 8020460,  r=10 
buff[11]=  11bbc1,  r=11 
buff[12]=  f1c955,  r=12 
buff[13]=  31c95c,  r=13 
buff[14]=18020005,  r=14 
buff[15]= 9020460,  r=15 
buff[16]=19020002,  r=16 
buff[17]=8000013f,  r=17 
buff[18]=4000043f,  r=18 
buff[19]= 802192c,  r=19 
buff[20]=   4e90f,  r=20 
buff[21]=  e4f6c9,  r=21 
buff[22]=  24f6d5,  r=22 
buff[23]=18021005,  r=23 
buff[24]= 902192c,  r=24 
buff[25]=19021002,  r=25 
buff[26]=8000013f,  r=26 
buff[27]=c0000000,  r=27 
buff[0]=4000045f,  r=0 
buff[1]= 802254e,  r=1 
buff[2]=  15738d,  r=2 
buff[3]=  f58120,  r=3 
buff[4]=  358128,  r=4 
buff[5]=18022005,  r=5 
buff[6]= 902254e,  r=6 
buff[7]=19022002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000047f,  r=0 
buff[1]= 8023e7f,  r=1 
buff[2]=  1a372b,  r=2 
buff[3]=  fa4455,  r=3 
buff[4]=  3a4468,  r=4 
buff[5]=18023005,  r=5 
buff[6]= 9023e7f,  r=6 
buff[7]=19023002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000049f,  r=0 
buff[1]= 8024dd1,  r=1 
buff[2]=  177ce0,  r=2 
buff[3]=  f78a48,  r=3 
buff[4]=  378a54,  r=4 
buff[5]=18024005,  r=5 
buff[6]= 9024dd1,  r=6 
buff[7]=19024002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=400004bf,  r=0 
buff[1]= 8025535,  r=1 
buff[2]=  150d4c,  r=2 
buff[3]=  f51b06,  r=3 
buff[4]=  351b0f,  r=4 
buff[5]=18025005,  r=5 
buff[6]= 9025535,  r=6 
buff[7]=19025002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=400004df,  r=0 
buff[1]= 8026438,  r=1 
buff[2]=  111a4f,  r=2 
buff[3]=  f127f5,  r=3 
buff[4]=  3127f8,  r=4 
buff[5]=18026005,  r=5 
buff[6]= 9026438,  r=6 
buff[7]=19026002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=400004ff,  r=0 
buff[1]= 802730d,  r=1 
buff[2]=   c6f3e,  r=2 
buff[3]=  ec7d35,  r=3 
buff[4]=  2c7d48,  r=4 
buff[5]=18027005,  r=5 
buff[6]= 902730d,  r=6 
buff[7]=19027002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=4000051f,  r=9 
buff[10]= 80289ec,  r=10 
buff[11]=   7eaa4,  r=11 
buff[12]=  e7f716,  r=12 
buff[13]=  27f725,  r=13 
buff[14]=18028005,  r=14 
buff[15]= 90289ec,  r=15 
buff[16]=19028002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=4000053f,  r=0 
buff[1]= 8029667,  r=1 
buff[2]=  19d8cd,  r=2 
buff[3]=  f9e574,  r=3 
buff[4]=  39e580,  r=4 
buff[5]=18029005,  r=5 
buff[6]= 9029667,  r=6 
buff[7]=19029002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000055f,  r=0 
buff[1]= 802aec7,  r=1 
buff[2]=  1b5734,  r=2 
buff[3]=  fb64d3,  r=3 
buff[4]=  3b64d7,  r=4 
buff[5]=1802a005,  r=5 
buff[6]= 902aec7,  r=6 
buff[7]=1902a002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000057f,  r=0 
buff[1]= 802bc92,  r=1 
buff[2]=  1283ef,  r=2 
buff[3]=  f29171,  r=3 
buff[4]=  329179,  r=4 
buff[5]=1802b005,  r=5 
buff[6]= 902bc92,  r=6 
buff[7]=1902b002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000059f,  r=0 
buff[1]= 802cd07,  r=1 
buff[2]=  1456d7,  r=2 
buff[3]=  f46490,  r=3 
buff[4]=  346495,  r=4 
buff[5]=1802c005,  r=5 
buff[6]= 902cd07,  r=6 
buff[7]=1902c002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=400005bf,  r=0 
buff[1]= 802d0cf,  r=1 
buff[2]=   375c6,  r=2 
buff[3]=  e38314,  r=3 
buff[4]=  238322,  r=4 
buff[5]=1802d005,  r=5 
buff[6]= 902d0cf,  r=6 
buff[7]=1902d002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=400005df,  r=0 
buff[1]= 802ea1d,  r=1 
buff[2]=   8acff,  r=2 
buff[3]=  e8ba77,  r=3 
buff[4]=  28ba81,  r=4 
buff[5]=1802e005,  r=5 
buff[6]= 902ea1d,  r=6 
buff[7]=1902e002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=400005ff,  r=0 
buff[1]= 802f945,  r=1 
buff[2]=   54e9e,  r=2 
buff[3]=  e55c88,  r=3 
buff[4]=  255c9c,  r=4 
buff[5]=1802f005,  r=5 
buff[6]= 902f945,  r=6 
buff[7]=1902f002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000061f,  r=0 
buff[1]= 8030380,  r=1 
buff[2]=   e39b3,  r=2 
buff[3]=  ee475c,  r=3 
buff[4]=  2e4761,  r=4 
buff[5]=18030005,  r=5 
buff[6]= 9030380,  r=6 
buff[7]=19030002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=4000063f,  r=9 
buff[10]= 8031397,  r=10 
buff[11]=   e9548,  r=11 
buff[12]=  eea2a4,  r=12 
buff[13]=  2ea2b1,  r=13 
buff[14]=18031005,  r=14 
buff[15]= 9031397,  r=15 
buff[16]=19031002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=4000065f,  r=0 
buff[1]= 80328c9,  r=1 
buff[2]=   35c7d,  r=2 
buff[3]=  e36a20,  r=3 
buff[4]=  236a24,  r=4 
buff[5]=18032005,  r=5 
buff[6]= 90328c9,  r=6 
buff[7]=19032002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=4000067f,  r=9 
buff[10]= 8033c09,  r=10 
buff[11]=  105ddd,  r=11 
buff[12]=  f06b54,  r=12 
buff[13]=  306b5e,  r=13 
buff[14]=18033005,  r=14 
buff[15]= 9033c09,  r=15 
buff[16]=19033002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=4000069f,  r=0 
buff[1]= 80345a8,  r=1 
buff[2]=  16dbf2,  r=2 
buff[3]=  f6e9ba,  r=3 
buff[4]=  36e9c4,  r=4 
buff[5]=18034005,  r=5 
buff[6]= 90345a8,  r=6 
buff[7]=19034002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=400006bf,  r=0 
buff[1]= 803524d,  r=1 
buff[2]=   96ee6,  r=2 
buff[3]=  e97c0d,  r=3 
buff[4]=  297c1f,  r=4 
buff[5]=18035005,  r=5 
buff[6]= 903524d,  r=6 
buff[7]=19035002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=400006df,  r=9 
buff[10]= 8036862,  r=10 
buff[11]=   1c136,  r=11 
buff[12]=  e1cedf,  r=12 
buff[13]=  21cee4,  r=13 
buff[14]=18036005,  r=14 
buff[15]= 9036862,  r=15 
buff[16]=19036002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=400006ff,  r=0 
buff[1]= 8037dc3,  r=1 
buff[2]=  174668,  r=2 
buff[3]=  f753c7,  r=3 
buff[4]=  3753d4,  r=4 
buff[5]=18037005,  r=5 
buff[6]= 9037dc3,  r=6 
buff[7]=19037002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000071f,  r=0 
buff[1]= 8038621,  r=1 
buff[2]=  18be7a,  r=2 
buff[3]=  f8cc58,  r=3 
buff[4]=  38cc6a,  r=4 
buff[5]=18038005,  r=5 
buff[6]= 9038621,  r=6 
buff[7]=19038002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=4000073f,  r=9 
buff[10]= 8039fa3,  r=10 
buff[11]=  1ec5df,  r=11 
buff[12]=  fed342,  r=12 
buff[13]=  3ed34e,  r=13 
buff[14]=18039005,  r=14 
buff[15]= 9039fa3,  r=15 
buff[16]=19039002,  r=16 
buff[17]=8000013f,  r=17 
buff[18]=4000075f,  r=18 
buff[19]= 803ae29,  r=19 
buff[20]=  18dd25,  r=20 
buff[21]=  f8eb3c,  r=21 
buff[22]=  38eb4a,  r=22 
buff[23]=1803a005,  r=23 
buff[24]= 903ae29,  r=24 
buff[25]=1903a002,  r=25 
buff[26]=8000013f,  r=26 
buff[27]=c0000000,  r=27 
buff[0]=4000077f,  r=0 
buff[1]= 803b2d5,  r=1 
buff[2]=   b8d18,  r=2 
buff[3]=  eb9b43,  r=3 
buff[4]=  2b9b4e,  r=4 
buff[5]=1803b005,  r=5 
buff[6]= 903b2d5,  r=6 
buff[7]=1903b002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000079f,  r=0 
buff[1]= 803c5e0,  r=1 
buff[2]=  17bb25,  r=2 
buff[3]=  f7c936,  r=3 
buff[4]=  37c948,  r=4 
buff[5]=1803c005,  r=5 
buff[6]= 903c5e0,  r=6 
buff[7]=1903c002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=400007bf,  r=0 
buff[1]= 803da7c,  r=1 
buff[2]=   a29cf,  r=2 
buff[3]=  ea3758,  r=3 
buff[4]=  2a3762,  r=4 
buff[5]=1803d005,  r=5 
buff[6]= 903da7c,  r=6 
buff[7]=1903d002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=400007df,  r=0 
buff[1]= 803ebf3,  r=1 
buff[2]=  100468,  r=2 
buff[3]=  f01241,  r=3 
buff[4]=  301254,  r=4 
buff[5]=1803e005,  r=5 
buff[6]= 903ebf3,  r=6 
buff[7]=1903e002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=400007ff,  r=0 
buff[1]= 803f0be,  r=1 
buff[2]=   33130,  r=2 
buff[3]=  e33dd2,  r=3 
buff[4]=  233ddc,  r=4 
buff[5]=1803f005,  r=5 
buff[6]= 903f0be,  r=6 
buff[7]=1903f002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=4000081f,  r=9 
buff[10]= 80401c3,  r=10 
buff[11]=   74714,  r=11 
buff[12]=  e7540d,  r=12 
buff[13]=  27541e,  r=13 
buff[14]=18040005,  r=14 
buff[15]= 90401c3,  r=15 
buff[16]=19040002,  r=16 
buff[17]=8000013f,  r=17 
buff[18]=4000083f,  r=18 
buff[19]= 80415e7,  r=19 
buff[20]=  17d684,  r=20 
buff[21]=  f7e43a,  r=21 
buff[22]=  37e43c,  r=22 
buff[23]=18041005,  r=23 
buff[24]= 90415e7,  r=24 
buff[25]=19041002,  r=25 
buff[26]=8000013f,  r=26 
buff[27]=4000085f,  r=27 
buff[28]= 8042ba1,  r=28 
buff[29]=   ebdbb,  r=29 
buff[30]=  eecb2c,  r=30 
buff[31]=  2ecb35,  r=31 
buff[32]=18042005,  r=32 
buff[33]= 9042ba1,  r=33 
buff[34]=19042002,  r=34 
buff[35]=8000013f,  r=35 
buff[0]=4000087f,  r=0 
buff[1]= 80436e1,  r=1 
buff[2]=  1bbdfb,  r=2 
buff[3]=  fbcb10,  r=3 
buff[4]=  3bcb23,  r=4 
buff[5]=18043005,  r=5 
buff[6]= 90436e1,  r=6 
buff[7]=19043002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000089f,  r=0 
buff[1]= 804405f,  r=1 
buff[2]=   1b80e,  r=2 
buff[3]=  e1c5e3,  r=3 
buff[4]=  21c5f4,  r=4 
buff[5]=18044005,  r=5 
buff[6]= 904405f,  r=6 
buff[7]=19044002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=400008bf,  r=0 
buff[1]= 8045839,  r=1 
buff[2]=   11f5f,  r=2 
buff[3]=  e12cd6,  r=3 
buff[4]=  212cde,  r=4 
buff[5]=18045005,  r=5 
buff[6]= 9045839,  r=6 
buff[7]=19045002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=400008df,  r=0 
buff[1]= 8046cc8,  r=1 
buff[2]=  135a96,  r=2 
buff[3]=  f367fd,  r=3 
buff[4]=  336808,  r=4 
buff[5]=18046005,  r=5 
buff[6]= 9046cc8,  r=6 
buff[7]=19046002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=400008ff,  r=0 
buff[1]= 8047b84,  r=1 
buff[2]=   e4b9b,  r=2 
buff[3]=  ee59ca,  r=3 
buff[4]=  2e59d4,  r=4 
buff[5]=18047005,  r=5 
buff[6]= 9047b84,  r=6 
buff[7]=19047002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000091f,  r=0 
buff[1]= 8048451,  r=1 
buff[2]=  117ee8,  r=2 
buff[3]=  f18c0d,  r=3 
buff[4]=  318c1e,  r=4 
buff[5]=18048005,  r=5 
buff[6]= 9048451,  r=6 
buff[7]=19048002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=4000093f,  r=9 
buff[10]= 8049e40,  r=10 
buff[11]=  193875,  r=11 
buff[12]=  f94654,  r=12 
buff[13]=  394668,  r=13 
buff[14]=18049005,  r=14 
buff[15]= 9049e40,  r=15 
buff[16]=19049002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=4000095f,  r=0 
buff[1]= 804a16e,  r=1 
buff[2]=   5f316,  r=2 
buff[3]=  e60125,  r=3 
buff[4]=  260135,  r=4 
buff[5]=1804a005,  r=5 
buff[6]= 904a16e,  r=6 
buff[7]=1904a002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000097f,  r=0 
buff[1]= 804befc,  r=1 
buff[2]=  1c28f8,  r=2 
buff[3]=  fc362a,  r=3 
buff[4]=  3c363b,  r=4 
buff[5]=1804b005,  r=5 
buff[6]= 904befc,  r=6 
buff[7]=1904b002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000099f,  r=0 
buff[1]= 804ca1e,  r=1 
buff[2]=   8b26b,  r=2 
buff[3]=  e8bfb4,  r=3 
buff[4]=  28bfc3,  r=4 
buff[5]=1804c005,  r=5 
buff[6]= 904ca1e,  r=6 
buff[7]=1904c002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=400009bf,  r=9 
buff[10]= 804d1e0,  r=10 
buff[11]=   7b90d,  r=11 
buff[12]=  e7c6c7,  r=12 
buff[13]=  27c6c8,  r=13 
buff[14]=1804d005,  r=14 
buff[15]= 904d1e0,  r=15 
buff[16]=1904d002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=400009df,  r=0 
buff[1]= 804e666,  r=1 
buff[2]=  19d0bb,  r=2 
buff[3]=  f9deaf,  r=3 
buff[4]=  39dec1,  r=4 
buff[5]=1804e005,  r=5 
buff[6]= 904e666,  r=6 
buff[7]=1904e002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=400009ff,  r=9 
buff[10]= 804fe40,  r=10 
buff[11]=  193a4b,  r=11 
buff[12]=  f9481e,  r=12 
buff[13]=  394830,  r=13 
buff[14]=1804f005,  r=14 
buff[15]= 904fe40,  r=15 
buff[16]=1904f002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=40000a1f,  r=0 
buff[1]= 8050964,  r=1 
buff[2]=   5caa0,  r=2 
buff[3]=  e5d7cf,  r=3 
buff[4]=  25d7e0,  r=4 
buff[5]=18050005,  r=5 
buff[6]= 9050964,  r=6 
buff[7]=19050002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=40000a3f,  r=9 
buff[10]= 8051f03,  r=10 
buff[11]=  1c448c,  r=11 
buff[12]=  fc5243,  r=12 
buff[13]=  3c5253,  r=13 
buff[14]=18051005,  r=14 
buff[15]= 9051f03,  r=15 
buff[16]=19051002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=40000a5f,  r=0 
buff[1]= 80527ff,  r=1 
buff[2]=    36fe,  r=2 
buff[3]=  e04450,  r=3 
buff[4]=  20445c,  r=4 
buff[5]=18052005,  r=5 
buff[6]= 90527ff,  r=6 
buff[7]=19052002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=40000a7f,  r=9 
buff[10]= 80536ed,  r=10 
buff[11]=  1bed9f,  r=11 
buff[12]=  fbfb6c,  r=12 
buff[13]=  3bfb74,  r=13 
buff[14]=18053005,  r=14 
buff[15]= 90536ed,  r=15 
buff[16]=19053002,  r=16 
buff[17]=8000013f,  r=17 
buff[18]=40000a9f,  r=18 
buff[19]= 8054412,  r=19 
buff[20]=  1083e1,  r=20 
buff[21]=  f0919a,  r=21 
buff[22]=  30919c,  r=22 
buff[23]=18054005,  r=23 
buff[24]= 9054412,  r=24 
buff[25]=19054002,  r=25 
buff[26]=8000013f,  r=26 
